"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17405","1","정상","50","FW",8,2757,"B","T-6.35","CN",9677,5,4,"부흥",28
"17408","1","정상","50","FW",6,4638,"A","T-6.35","CN",5619,1,0,"부흥",18
"17413","1","정상","50","FW",8,4638,"A","T-6.35","CN",8599,1,0,"부흥",18
"17415","1","정상","30","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥",25
"17417","1","정상","50","FW",6,2754,"A","T-6.35","CN",1896,1,0,"부흥",18
"17419","1","정상","30","FW",6,430,"B","T-6.35","CN",14712,1,0,"부흥",7
"17420","1","정상","40","FW",8,1424,"B","T-6.35","CN",1845,2,1,"부흥",16
"17424","1","정상","50","FW",6,2075,"A","T-6.35","CN",3581,5,3,"부흥",26
"17426","1","정상","50","FW",8,2187,"A","T-6.35","CN",3575,3,1,"부흥",18
"17427","1","정상","50","FW",6,933,"B","T-6.35","CN",18998,2,1,"부흥",26
"17428","1","정상","50","FW",6,4638,"A","T-6.35","CN",5619,1,0,"부흥",18
"17430","1","정상","50","FW",6,3447,"B","T-6.35","CN",5110,4,3,"부흥",26
"17433","1","정상","50","FW",1.5,1176,"A","T-3.81","CN",3463,6,3,"부흥",28
"17436","1","정상","40","FW",1,1363,"","S-80S","CN",5811,8,1,"부흥",38
"17438","1","정상","30","FW",1,1355,"","S-80S","CN",4719,8,1,"부흥",31
"17440","1","정상","50","FW",1.5,391,"A","T-3.81","CN",2345,4,3,"부흥",26
"17442","1","정상","50","FW",1.5,280,"A","T-3.81","CN",21424,5,4,"부흥",26
