,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
392,0.0,정상,3B,DA,3.0,2272.0,A,S-80,CS,51.504,4.0,3.0,성일SIM함안공장,36.0
393,1.0,정상,3B,DA,3.0,972.0,A,S-80,CS,34.429,5.0,4.0,건일산업(주),26.0
394,0.0,정상,3B,DA,3.0,5900.0,A,S-80,CS,90.093,1.0,0.0,성일SIM함안공장,24.0
396,0.0,정상,3B,DA,3.0,5148.0,A,S-80,CS,78.61,1.0,0.0,성일SIM함안공장,24.0
397,0.0,정상,3B,PA,3.0,2142.0,A,S-80,CS,65.26899999999999,6.0,5.0,성일SIM함안공장,50.0
399,1.0,정상,3B,PA,3.0,1014.0,A,S-80,CS,38.246,5.0,4.0,건일산업(주),37.0
400,0.0,정상,3B,PA,3.0,5500.0,A,S-80,CS,83.985,1.0,0.0,성일SIM함안공장,24.0
401,0.0,정상,3B,PA,3.0,5900.0,A,S-80,CS,90.093,1.0,0.0,성일SIM함안공장,24.0
402,0.0,정상,3B,PA,3.0,5298.0,A,S-80,CS,80.9,1.0,0.0,성일SIM함안공장,25.0
404,0.0,정상,3B,AI,4.0,11500.0,A,S-40,CS,209.24,7.0,6.0,성일SIM함안공장,36.0
405,0.0,정상,3B,AI,4.0,11000.0,A,S-40,CS,195.142,5.0,4.0,성일SIM함안공장,36.0
406,0.0,정상,3B,AI,4.0,948.0,A,S-40,CS,26.544,3.0,2.0,성일SIM함안공장,36.0
407,0.0,정상,3B,FWL,4.0,11000.0,A,S-40,CS,176.88,1.0,0.0,성일SIM함안공장,25.0
408,0.0,정상,3B,FWL,4.0,11500.0,A,S-40,CS,184.92,1.0,0.0,성일SIM함안공장,25.0
409,0.0,정상,3B,FWL,4.0,11500.0,A,S-40,CS,184.92,1.0,0.0,성일SIM함안공장,25.0
410,1.0,정상,3B,PM,4.0,5678.0,A,S-40,CS,144.907,8.0,7.0,건일산업(주),26.0
411,0.0,정상,3B,PM,4.0,9656.0,A,S-40,CS,164.208,4.0,3.0,성일SIM함안공장,36.0
413,1.0,정상,3B,CWR,6.0,1865.0,A,S-40,CS,121.457,5.0,4.0,건일산업(주),37.0
414,0.0,정상,3B,CWS,6.0,1865.0,A,S-40,CS,115.998,4.0,3.0,성일SIM함안공장,25.0
415,0.0,정상,3B,CWS,6.0,1502.0,A,S-40,CS,62.327,3.0,2.0,성일SIM함안공장,25.0
416,1.0,정상,40,VA,6.0,0.0,A,S-40,CS,248.935,6.0,5.0,(주)성광테크,24.0
417,1.0,정상,50,VA,6.0,0.0,A,S-40,CS,249.02,6.0,5.0,(주)성광테크,48.0
418,1.0,정상,3B,WM,6.0,5081.0,A,S-80,CS,231.217,2.0,1.0,건일산업(주),24.0
